date,sentiment
2016-03-10,0.522386372089386
2016-03-15,0.7925397753715515
2016-03-16,0.3795454402764638
2016-03-18,0.3156554400920868
2016-03-21,0.5244580805301666
2016-03-22,0.6014714241027832
2016-03-23,0.4932109117507935
2016-03-24,0.5089107155799866
2016-03-30,0.5119703412055969
2016-03-31,0.4569057822227478
2016-04-02,0.9776561260223388
2016-04-03,0.6511929631233215
2016-04-04,0.7539074420928955
2016-04-13,0.3411290347576141
2016-04-15,0.5600537359714508
2016-04-18,0.13322743773460388
2016-04-19,0.6581025123596191
2016-04-20,0.4851751923561096
2016-04-22,0.3683174848556519
2016-04-25,0.5897788107395172
2016-04-26,0.4299250304698944
2016-04-28,0.5429554283618927
2016-06-02,0.6044178771972656
2016-06-08,0.5995537489652634
2016-06-09,0.5847305059432983
